"res","f1","f2","f3","f4","f5","f6","f7","f8"
0,0,0,4,101,0,0,2,45
0,0,0,7,111,0,0,3,50
0,0,0,9,108,0,0,5,50
0,0,0,10,110,0,0,4,51
0,0,0,11,111,0,0,6,52
0,4,0,11,116,1,0,5,52
0,0,0,11,114,0,0,6,50
0,6,0,11,105,2,0,6,50
0,9,0,10,102,5,0,4,48
0,8,0,10,94,4,0,5,46
0,10,0,10,91,5,0,6,44
0,8,0,11,91,4,0,6,44
0,6,0,10,91,3,0,6,44
0,5,0,9,92,3,0,5,47
0,2,0,9,107,0,0,5,47
0,1,0,9,112,0,0,4,49
0,0,0,6,106,0,0,3,48
0,0,0,8,118,0,0,4,56
0,0,0,9,109,0,0,4,54
0,0,0,11,114,0,0,5,56
0,0,0,11,112,0,0,5,61
0,0,0,10,110,0,0,5,56
0,0,0,7,112,0,0,3,53
0,0,0,6,101,0,0,3,46
0,0,0,6,97,0,0,3,46
0,0,0,4,96,0,0,2,47
0,0,0,5,86,0,0,2,46
0,0,0,3,86,0,0,1,46
0,0,0,3,84,0,0,1,45
0,0,0,3,87,0,0,1,54
0,0,0,1,93,0,0,0,48
0,0,0,5,92,0,0,3,50
0,0,0,8,97,0,0,4,51
0,0,0,8,91,0,0,4,47
0,0,0,7,88,0,0,3,46
0,0,0,4,86,0,0,2,45
0,1,0,5,95,0,0,2,54
0,0,0,4,82,0,0,1,42
0,0,0,3,85,0,0,1,39
0,0,0,8,105,0,0,3,49
0,0,0,3,96,0,0,1,43
0,0,0,0,104,0,0,0,50
0,0,0,6,104,0,0,2,46
0,0,0,4,107,0,0,1,49
0,0,0,8,110,0,0,3,52
0,0,0,10,107,0,0,5,46
0,0,0,8,115,0,0,4,49
0,3,0,12,111,1,0,6,48
0,4,0,9,107,2,0,5,47
0,4,0,5,104,2,0,2,46
0,3,0,5,103,1,0,2,42
0,4,0,4,100,2,0,2,41
0,4,0,3,100,2,0,1,42
0,5,0,2,99,2,0,1,40
0,3,0,2,101,1,0,1,44
0,3,0,2,111,1,0,0,49
0,2,0,5,114,0,0,2,50
0,2,0,7,121,0,0,4,55
0,1,0,6,116,0,0,3,55
0,1,0,10,117,0,0,6,55
0,0,0,4,113,0,0,2,54
0,1,0,3,110,0,0,1,50
0,1,0,5,105,0,0,2,49
0,2,0,4,94,0,0,2,38
0,0,0,2,98,0,0,1,46
0,0,0,3,94,0,0,1,46
0,0,0,1,95,0,0,0,48
0,0,0,1,99,0,0,0,50
0,0,0,0,106,0,0,0,53
0,0,0,2,106,0,0,0,58
0,0,0,0,103,0,0,0,54
0,2,0,1,98,0,0,0,50
0,4,0,2,90,2,0,0,46
0,5,0,0,82,3,0,0,42
0,6,0,0,89,3,0,0,42
0,3,0,0,96,1,0,0,42
0,0,0,0,97,0,0,0,46
0,0,0,0,105,0,0,0,46
0,0,0,2,110,0,0,0,47
0,0,0,1,112,0,0,0,53
0,2,0,4,118,0,0,1,54
0,6,0,4,112,2,0,2,51
0,9,0,4,111,5,0,2,50
0,11,0,2,104,6,0,0,47
0,11,0,2,106,7,0,1,48
0,10,0,2,108,6,0,0,48
0,7,0,0,99,4,0,0,45
0,10,0,2,111,6,0,0,52
0,7,0,2,106,4,0,0,49
0,5,0,7,113,2,0,3,54
0,5,0,7,111,3,0,4,58
0,5,0,5,103,2,0,3,52
0,5,0,5,104,3,0,2,49
0,8,0,2,94,5,0,1,47
0,5,0,3,91,2,0,1,47
0,2,0,3,88,1,0,1,49
0,3,0,2,89,1,0,1,50
0,2,0,0,89,0,0,0,50
0,0,0,6,87,0,0,2,49
0,0,0,7,94,0,0,3,53
1,174,653,384,135,127,492,252,75
1,177,463,234,128,136,345,155,76
1,163,502,353,136,113,369,278,94
1,343,930,388,175,258,630,251,115
1,387,1015,590,153,300,914,320,112
1,224,664,338,129,169,554,263,87
1,223,754,445,101,179,532,299,67
1,369,959,469,139,255,594,294,94
1,395,999,492,143,262,666,328,114
1,332,998,597,138,228,813,314,83
1,437,1050,402,145,296,713,265,113
1,300,825,372,147,194,482,234,93
1,355,965,552,160,272,706,349,111
1,288,731,467,142,184,486,263,90
1,415,998,425,176,264,660,270,111
1,367,1003,495,156,275,668,333,111
1,395,1106,539,123,253,715,335,95
1,421,1049,713,145,265,729,378,104
1,341,771,349,186,242,632,204,114
1,364,787,439,141,171,391,280,96
1,307,851,484,127,232,631,261,91
1,342,847,336,147,227,664,185,102
1,300,703,394,126,215,543,247,86
1,328,863,463,162,228,601,254,99
1,310,810,539,149,203,582,294,101
1,167,514,287,121,144,414,145,87
1,302,770,366,117,200,442,221,83
1,246,681,284,137,148,460,174,100
1,241,764,407,104,147,475,277,76
1,186,448,207,95,108,275,160,59
1,246,601,307,135,165,376,206,90
1,322,694,235,113,165,381,156,76
1,191,491,262,118,123,316,160,81
1,190,486,324,117,133,348,207,87
1,136,447,273,97,97,337,217,61
1,324,619,296,155,134,365,180,93
1,262,690,328,107,194,567,195,72
1,359,922,484,169,223,592,189,113
1,238,645,413,152,167,456,254,105
1,300,739,367,129,198,485,256,99
1,173,476,335,131,125,350,208,85
1,204,516,277,113,129,394,195,100
1,238,623,190,101,134,296,116,73
1,184,491,176,91,112,376,82,68
1,251,638,278,118,162,409,197,86
1,177,514,244,120,121,416,166,72
1,261,633,265,131,207,545,147,95
1,223,509,253,131,136,377,153,110
1,257,788,341,118,161,511,226,83
1,154,446,281,118,108,363,215,82
1,210,597,354,118,150,460,216,90
1,141,345,216,102,114,286,147,75
1,339,778,272,153,175,418,157,95
1,128,377,151,111,72,247,112,65
1,217,571,243,143,134,370,121,114
1,306,726,416,107,162,382,222,62
1,153,498,240,94,94,338,132,71
1,197,501,193,119,135,322,126,85
1,203,556,240,126,151,453,133,104
1,387,998,700,147,215,596,393,99
1,391,977,614,175,306,813,400,125
1,296,1015,403,118,243,886,203,76
1,261,679,390,152,155,444,223,104
1,290,720,306,151,165,465,143,113
1,258,656,189,143,188,476,142,109
1,255,677,237,96,172,445,148,73
1,243,626,278,114,144,380,190,77
1,321,797,320,122,233,600,231,96
1,193,575,256,107,145,474,163,73
1,277,655,208,102,153,430,130,85
1,209,541,277,104,134,362,168,74
1,170,441,288,125,142,327,161,95
1,170,460,265,127,143,387,221,80
1,200,500,260,120,141,329,187,80
1,293,676,157,141,162,439,108,95
1,174,529,377,123,130,386,247,80
1,180,437,259,110,145,369,169,76
1,165,503,421,97,127,422,235,66
1,220,567,205,112,151,394,142,86
1,180,551,316,123,124,332,168,100
1,172,524,261,125,114,445,189,87
1,146,395,260,141,78,232,167,96
1,148,477,261,93,106,268,136,80
1,328,683,330,100,137,363,194,79
1,229,493,355,137,145,341,205,92
1,123,340,147,110,84,289,101,69
1,203,568,281,130,134,373,157,96
1,123,245,198,95,87,146,90,74
1,286,680,425,118,190,485,246,88
1,453,1116,788,170,276,771,427,115
1,222,579,353,130,166,371,212,80
1,318,645,361,140,165,415,225,92
1,228,593,258,123,143,363,171,83
1,261,625,353,123,138,372,223,83
1,364,1063,648,137,240,748,280,108
1,231,632,278,121,159,443,170,87
1,193,591,343,102,122,399,211,60
1,220,402,195,124,146,326,127,73
1,306,633,280,103,144,386,162,77
1,167,419,268,132,125,318,195,97
2,89,14,132,287,65,4,71,207
2,46,9,185,242,23,3,114,179
2,78,4,173,295,48,1,85,194
2,44,10,131,301,24,2,73,159
2,79,18,270,277,54,7,131,229
2,97,14,217,279,55,5,85,218
2,77,9,135,267,42,3,71,210
2,65,0,188,270,39,0,87,177
2,65,18,168,332,34,6,90,189
2,93,16,227,317,57,5,99,222
2,92,8,251,365,52,3,113,261
2,112,22,114,420,69,9,80,239
2,114,18,253,347,78,9,120,205
2,69,19,145,277,46,5,59,172
2,103,20,192,378,52,6,92,241
2,98,16,119,215,49,5,56,151
2,81,24,183,196,43,11,124,160
2,121,17,233,311,58,2,126,232
2,118,27,182,263,67,9,114,196
2,84,33,231,299,56,12,108,206
2,71,10,207,192,44,4,98,137
2,135,13,93,291,59,4,50,176
2,156,32,218,255,88,13,128,192
2,102,19,75,293,55,5,39,187
2,96,5,188,279,51,1,112,177
2,118,16,240,201,73,3,105,184
2,61,2,100,243,33,0,58,185
2,100,2,52,239,53,1,36,174
2,131,21,151,281,84,8,96,212
2,88,0,81,241,39,0,56,200
2,108,21,82,194,51,6,55,124
2,67,0,55,149,38,0,39,105
2,50,8,74,284,35,3,40,229
2,91,4,157,233,50,1,94,161
2,112,8,138,306,58,3,64,214
2,99,11,82,262,49,4,46,203
2,89,8,98,321,43,1,50,223
2,47,0,67,216,22,0,41,170
2,74,0,69,195,40,0,36,131
2,72,0,62,253,47,0,37,178
2,75,0,87,213,43,0,65,151
2,58,8,55,265,21,2,38,192
2,104,11,48,176,45,3,29,141
2,88,2,65,231,45,0,45,168
2,47,0,56,266,24,0,36,154
2,88,0,52,248,40,0,35,192
2,94,0,59,313,59,0,39,208
2,42,0,157,163,13,0,71,129
2,78,5,171,267,55,2,89,208
2,69,20,112,314,47,7,67,221
2,81,6,175,277,35,1,103,231
2,118,19,87,274,65,6,53,195
2,97,40,137,285,66,15,89,193
2,78,5,83,250,44,2,47,172
2,61,5,64,203,34,1,37,152
2,97,5,64,201,54,1,35,152
2,66,15,71,216,39,2,38,125
2,139,12,63,269,51,2,45,166
2,70,6,56,277,38,1,42,204
2,164,8,64,226,83,2,37,183
2,78,19,58,308,48,7,40,208
2,157,15,192,223,91,4,88,154
2,105,27,57,275,58,7,42,225
2,106,0,142,232,68,0,67,179
2,73,7,114,263,35,1,63,192
2,87,3,60,183,53,0,45,135
2,81,0,96,278,42,0,52,208
2,108,0,95,207,55,0,47,169
2,110,0,71,224,47,0,60,168
2,103,3,68,267,54,1,43,165
2,76,0,58,242,42,0,41,164
2,100,0,91,316,63,0,58,219
2,97,16,82,179,41,4,57,123
2,53,1,47,225,26,0,32,139
2,164,0,75,225,87,0,49,160
2,23,0,56,200,13,0,33,183
2,94,0,78,207,50,0,53,155
2,97,11,62,287,59,3,42,218
2,137,1,74,236,85,0,50,198
2,54,2,88,252,24,0,54,142
2,89,0,80,247,46,0,52,132
2,79,15,80,274,69,4,64,194
2,40,0,63,231,23,0,42,194
2,131,13,68,248,57,5,50,169
2,77,2,87,304,53,0,51,228
2,86,0,68,187,38,0,34,124
2,153,31,79,228,64,9,53,168
2,141,16,71,188,79,5,46,129
2,65,7,58,221,38,2,33,135
2,61,12,53,252,26,3,36,178
2,132,15,70,355,64,4,46,222
2,76,9,199,186,40,2,105,132
2,193,0,168,167,56,0,94,144
2,136,29,144,254,73,14,50,162
2,46,2,85,235,26,0,56,176
2,76,8,116,373,52,3,73,270
2,132,3,87,258,74,1,61,202
2,24,0,79,287,15,0,58,238
2,90,25,78,278,53,9,51,194
2,102,0,66,234,60,0,37,173
3,38,0,46,272,19,0,25,199
3,51,18,63,162,21,6,38,128
3,43,0,48,207,26,0,31,173
3,58,4,54,249,32,1,32,170
3,34,0,38,228,19,0,27,135
3,33,18,41,225,22,2,26,174
3,35,11,48,225,20,5,30,159
3,58,23,67,237,29,9,32,186
3,38,13,57,208,19,4,34,153
3,47,8,57,273,26,2,38,183
