"res","f1","f2","f3","f4","f5","f6","f7","f8"
0,4,0,19,122,1,0,10,64
0,1,0,21,126,0,0,11,66
0,0,0,20,128,0,0,10,67
0,0,0,15,128,0,0,8,67
0,0,0,15,122,0,0,8,61
0,2,0,16,117,0,0,8,59
0,5,0,19,120,2,0,9,58
0,7,0,21,127,3,0,10,60
0,5,0,24,137,2,0,11,65
0,5,0,24,138,3,0,12,66
0,5,0,22,134,2,0,12,66
0,8,0,19,128,4,0,11,57
0,6,0,19,127,3,0,11,57
0,6,0,20,125,3,0,12,57
0,6,0,19,122,4,0,11,58
0,8,0,20,124,5,0,11,58
0,6,0,18,126,3,0,10,60
0,7,0,24,130,2,0,14,64
0,3,0,21,132,0,0,12,65
0,0,0,17,125,0,0,9,61
0,0,0,10,117,0,0,6,63
0,0,0,13,117,0,0,8,62
0,0,0,17,114,0,0,10,64
0,0,0,20,122,0,0,11,69
0,0,0,17,127,0,0,8,69
0,2,0,12,121,0,0,6,63
0,0,0,11,119,0,0,5,60
0,0,0,12,121,0,0,5,59
0,0,0,10,111,0,0,5,55
0,2,0,13,116,0,0,6,56
0,1,0,11,121,0,0,5,58
0,0,0,15,125,0,0,8,62
0,0,0,16,125,0,0,9,64
0,0,0,16,119,0,0,9,67
0,0,0,14,126,0,0,8,68
0,0,0,15,125,0,0,8,70
0,0,0,7,118,0,0,3,64
0,0,0,7,117,0,0,3,64
0,0,0,9,116,0,0,4,60
0,0,0,7,117,0,0,3,59
0,0,0,4,116,0,0,2,57
0,0,0,6,114,0,0,3,57
0,0,0,4,114,0,0,2,59
0,0,0,6,111,0,0,3,55
0,0,0,5,114,0,0,2,56
0,1,0,7,119,0,0,3,55
0,0,0,10,119,0,0,6,58
0,0,0,10,116,0,0,6,54
0,0,0,10,118,0,0,6,54
0,0,0,11,125,0,0,6,57
1,298,770,326,130,209,543,209,77
1,308,789,301,146,235,601,189,95
1,286,708,343,142,184,449,207,86
1,274,763,333,129,180,461,205,92
1,151,447,205,126,114,361,124,76
1,314,782,343,149,192,546,201,103
1,233,662,292,143,170,478,191,89
1,269,672,240,140,167,463,150,99
1,266,765,442,159,168,519,239,104
1,139,529,260,125,103,406,166,76
1,314,727,356,125,201,478,184,83
1,295,651,237,129,171,485,143,82
1,214,615,375,118,121,400,218,78
1,208,488,287,124,118,296,175,70
1,163,464,218,141,113,308,157,96
1,178,478,186,132,120,385,130,80
1,148,434,268,128,109,324,200,79
1,222,623,217,130,166,455,133,74
1,178,428,199,150,91,275,127,85
1,156,451,177,115,102,348,123,67
1,134,422,179,154,108,317,115,98
1,207,673,424,144,143,465,223,85
1,235,628,281,145,167,450,183,88
1,206,565,215,133,130,403,135,82
1,180,430,235,124,104,295,150,78
1,124,378,262,111,86,291,171,71
1,165,431,162,122,102,303,118,76
1,127,340,237,115,88,251,146,77
1,157,414,245,116,111,330,154,74
1,202,577,264,135,127,397,161,94
1,130,418,214,108,93,318,133,71
1,209,565,247,126,122,398,159,87
1,212,583,248,119,132,402,146,82
1,187,531,242,119,120,363,127,75
1,218,558,282,114,127,343,155,75
1,187,495,201,133,130,363,126,82
1,176,564,259,125,120,438,150,89
1,219,552,227,131,143,358,141,97
1,139,362,173,125,106,285,115,84
1,123,346,187,140,81,232,114,82
1,182,412,181,142,131,276,123,90
1,160,474,232,103,104,304,128,65
1,175,497,262,117,107,309,157,72
1,191,425,173,128,140,321,92,90
1,186,423,208,129,115,277,137,89
1,197,471,233,131,141,325,162,80
1,200,465,237,124,137,278,132,70
1,228,526,239,130,135,290,144,83
1,161,420,187,124,106,287,112,74
1,189,389,169,115,133,259,109,77
2,97,32,80,249,49,6,52,162
2,90,16,58,220,39,3,32,167
2,83,14,64,286,34,4,42,193
2,83,21,60,316,55,6,35,200
2,104,11,152,261,47,3,73,183
2,104,18,241,254,51,5,128,183
2,80,12,182,255,46,3,92,194
2,126,34,199,279,72,12,80,181
2,231,28,243,324,93,13,146,233
2,214,36,229,303,101,13,112,200
2,102,11,178,253,61,3,83,184
2,63,19,213,236,40,7,92,160
2,100,27,214,315,58,7,103,213
2,170,26,221,294,85,9,102,217
2,95,9,104,275,61,3,46,192
2,86,18,79,311,49,4,41,220
2,153,15,123,264,92,4,59,198
2,77,6,51,196,40,2,29,142
2,78,2,60,228,39,0,38,169
2,174,6,56,280,83,0,36,200
2,78,10,130,273,46,2,68,207
2,224,25,156,261,117,10,83,180
2,217,18,188,250,116,5,78,181
2,165,2,128,246,75,0,66,163
2,150,11,69,215,78,3,44,165
2,160,2,63,261,85,0,47,193
2,76,1,63,257,36,0,46,185
2,118,19,70,285,57,4,43,219
2,108,24,87,323,50,8,49,207
2,117,18,72,303,63,7,38,205
2,125,34,57,287,62,9,37,210
2,197,16,68,247,93,4,40,157
2,154,29,207,309,63,9,110,230
2,229,50,177,396,130,22,97,263
2,211,20,123,294,125,5,64,187
2,172,6,49,202,66,1,28,154
2,231,23,56,318,120,8,41,184
2,158,14,174,324,73,4,77,188
2,232,18,184,222,114,6,60,162
2,218,36,66,328,99,13,42,214
2,211,21,90,286,109,10,64,215
2,214,23,73,217,83,8,40,167
2,141,5,143,244,79,1,67,165
2,181,62,82,221,75,18,54,160
2,210,25,133,269,105,7,75,183
2,96,12,79,211,56,3,45,144
2,184,9,59,245,90,3,45,200
2,290,48,80,265,139,21,51,181
2,157,18,194,267,90,6,90,204
2,181,20,217,240,83,7,87,171
3,72,29,37,188,42,8,24,116
3,33,9,32,190,23,2,20,154
