"res","f1","f2","f3","f4","f5","f6","f7","f8"
0,38,42,113,55,28,10,93,47
0,11,33,71,72,7,18,62,60
0,23,0,107,74,14,0,97,67
0,23,42,114,84,15,10,92,61
0,204,325,1076,165,192,176,383,115
0,600,319,1222,241,470,272,1057,176
0,409,985,2665,246,285,567,1459,165
0,417,421,1470,173,253,264,672,126
0,500,951,2106,253,335,660,1132,177
0,469,608,871,177,423,480,717,145
0,334,321,601,186,213,201,388,147
0,453,294,242,128,253,228,167,123
0,199,169,430,125,80,48,158,92
0,21,24,206,60,16,19,168,52
0,20,28,157,80,12,14,127,57
0,35,29,146,88,10,18,105,73
0,32,33,136,70,26,21,119,58
0,3,42,107,67,1,25,93,55
0,31,47,174,75,18,29,149,65
0,34,48,138,54,23,27,135,36
0,19,25,100,100,13,18,89,79
0,17,16,128,82,11,8,123,56
0,26,58,189,60,19,37,113,43
0,80,22,311,113,53,11,235,80
0,387,217,512,236,198,118,232,144
0,622,700,2381,197,426,503,1432,139
0,653,767,2319,338,543,489,1446,211
0,819,974,2016,440,597,620,1380,398
0,1067,1193,2109,314,719,845,1801,252
0,405,376,940,105,267,191,442,49
0,43,5,181,100,39,2,145,68
0,53,43,140,205,26,29,86,133
0,30,12,188,172,21,6,143,132
0,1,36,133,69,1,22,106,58
0,24,54,126,92,16,28,103,85
0,34,44,181,61,25,25,152,38
0,11,65,127,71,6,45,100,66
0,47,43,182,99,40,29,133,59
0,25,30,146,78,16,21,116,54
0,29,9,81,108,18,4,69,90
0,49,34,270,73,28,18,170,55
0,270,166,547,91,216,86,370,85
0,264,349,1006,196,205,297,842,146
0,514,850,2156,334,293,659,1256,249
0,708,1055,2195,185,542,853,1579,137
0,845,1113,2485,395,598,557,2128,374
0,1092,587,1238,293,547,371,695,185
0,695,652,1411,157,563,518,899,130
0,99,228,532,140,90,146,302,113
0,48,41,151,151,34,27,115,103
0,25,20,134,172,11,5,101,113
0,13,16,155,106,8,11,117,58
0,19,39,117,122,10,27,91,87
0,16,50,135,59,11,19,103,42
0,52,32,158,94,31,18,149,69
0,26,5,147,267,22,2,107,161
0,19,18,149,49,11,12,135,35
0,27,55,196,91,16,32,168,80
0,36,65,181,79,22,35,143,57
0,31,56,190,39,15,43,132,26
0,1,19,294,69,0,13,123,41
0,59,106,265,111,46,43,235,91
0,516,468,1729,228,246,355,1116,181
0,416,276,1062,176,372,259,750,106
0,396,865,2473,271,311,755,1696,225
0,740,645,1892,274,544,479,941,181
0,533,776,1970,167,416,677,1095,144
0,552,620,1084,272,368,408,504,212
0,340,544,781,159,271,352,513,143
0,103,72,205,180,57,55,178,145
0,184,41,128,416,151,30,82,362
0,33,39,155,59,19,27,143,50
0,21,40,109,55,15,27,99,38
0,13,48,110,86,8,40,99,46
0,48,28,90,74,34,16,79,66
0,20,28,169,147,13,21,117,111
0,47,4,149,163,35,2,112,127
0,24,38,164,118,18,19,126,101
0,22,65,145,178,19,45,119,157
0,41,42,98,74,33,20,78,57
0,62,64,193,184,40,40,163,135
0,18,64,149,73,15,49,144,54
0,33,52,144,72,25,31,125,59
0,63,37,411,91,54,32,280,71
0,342,253,1399,138,226,170,814,103
0,1075,1163,2510,259,854,838,1898,171
0,763,1385,2966,381,479,871,1371,259
0,1081,1274,2274,435,639,605,1106,279
0,339,685,1763,297,193,470,794,172
0,669,303,673,272,428,237,347,219
