"res","f1","f2","f3","f4","f5","f6","f7","f8"
0,112,109,94,146,0,0,0,0
0,0,0,0,26,0,0,0,0
0,1,0,0,0,0,0,0,0
0,0,0,176,151,0,0,0,0
0,0,0,0,0,0,0,0,0
0,203,0,78,0,0,0,0,0
0,0,0,0,147,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,202,59,0,0,0,0
0,0,0,0,0,0,0,0,0
0,153,0,70,0,0,0,0,0
0,0,0,0,92,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,272,101,0,0,0,0
0,0,0,0,0,0,0,0,0
0,257,0,32,9,0,0,0,0
0,0,0,22,150,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,11,266,33,0,0,0,0
0,0,0,0,0,0,0,0,0
0,132,0,19,0,0,0,0,0
0,0,0,25,147,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,171,45,0,0,0,0
0,0,0,0,5,0,0,0,0
0,138,0,36,0,0,0,0,0
0,0,0,65,178,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,59,101,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,68,0,16,0,0,0,0,0
0,0,0,87,283,0,0,0,0
0,0,0,0,0,0,0,0,0
0,32,28,95,14,0,0,0,0
0,0,0,0,0,0,0,0,0
0,55,0,9,13,0,0,0,0
0,0,0,142,176,0,0,0,0
0,0,0,0,0,0,0,0,0
0,60,112,50,0,0,0,0,0
0,0,0,0,16,0,0,0,0
0,15,0,28,0,0,0,0,0
0,0,0,192,129,0,0,0,0
0,0,0,0,0,0,0,0,0
0,128,0,62,0,0,0,0,0
0,0,0,8,83,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,160,112,0,0,0,0
0,0,0,0,0,0,0,0,0
0,167,54,39,0,0,0,0,0
0,0,0,14,46,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,275,93,0,0,0,0
0,0,0,0,0,0,0,0,0
0,208,0,42,0,0,0,0,0
0,0,0,16,240,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,261,48,0,0,0,0
0,0,0,0,0,0,0,0,0
0,140,0,48,0,0,0,0,0
0,0,0,10,23,0,0,0,0
0,0,0,16,0,0,0,0,0
0,0,34,116,110,0,0,0,0
0,0,0,497,0,0,0,0,0
0,67,0,157,0,0,0,0,0
0,0,0,546,240,0,0,0,0
0,0,0,134,2,0,0,0,0
0,43,0,359,0,0,0,0,0
0,32,99,1174,0,0,0,0,0
0,84,0,1407,34,0,0,0,0
0,125,0,33,176,0,0,0,0
0,0,0,25,0,0,0,0,0
0,62,64,345,21,0,0,0,0
0,0,0,350,103,0,0,0,0
0,53,803,4095,0,0,0,0,0
0,0,0,1284,113,0,0,0,0
0,0,257,1095,60,0,0,0,0
0,339,530,1121,0,0,0,0,0
0,217,1328,4095,0,0,0,0,0
0,33,1042,4095,0,0,0,0,0
0,432,86,3399,16,0,0,0,0
0,48,1005,1424,0,0,0,0,0
0,146,194,2466,18,0,0,0,0
0,0,432,711,453,0,0,0,0
0,0,0,1407,244,0,0,0,0
0,336,1223,4095,432,0,0,0,0
0,165,687,1862,302,0,0,0,0
0,155,0,175,120,0,0,0,0
0,464,2074,4095,143,0,0,0,0
