"res","f1","f2","f3","f4","f5","f6","f7","f8"
0,0,0,1,1,10,55,39,44
0,0,0,1,1,12,57,38,38
0,0,0,1,1,15,46,33,32
0,0,0,0,1,12,43,33,35
0,0,0,0,1,8,42,33,34
0,0,0,0,1,8,44,30,36
0,0,0,1,1,9,42,32,36
0,0,0,1,1,8,40,33,39
0,0,0,1,1,8,47,38,52
0,0,0,1,1,8,50,40,51
0,0,0,1,1,9,56,40,44
0,0,0,1,1,15,56,38,43
0,0,0,1,1,19,51,34,39
0,0,0,1,1,18,44,34,40
0,0,0,1,1,14,40,37,38
0,0,0,1,1,8,44,35,41
0,0,0,1,1,7,42,34,49
0,0,0,1,1,6,49,41,52
0,0,0,1,1,10,54,41,53
0,0,0,1,1,18,52,35,47
0,0,0,0,1,20,43,32,45
0,0,0,1,1,17,45,41,52
0,0,0,0,1,11,44,33,38
0,0,0,0,1,8,41,32,42
0,0,0,1,1,6,49,37,42
0,0,0,1,1,6,48,36,34
0,0,0,1,1,10,47,32,35
0,0,0,0,1,10,39,30,35
0,0,0,0,1,7,39,34,38
0,0,0,1,1,7,40,32,45
0,0,0,1,1,6,42,35,51
0,0,0,1,2,6,49,38,52
0,0,0,1,2,12,52,36,43
0,0,0,1,1,16,39,31,43
0,0,0,1,1,8,40,34,44
0,0,0,1,2,4,46,40,50
0,0,0,1,2,10,54,41,48
0,0,0,1,1,17,47,35,41
0,0,0,0,1,14,39,31,34
0,0,0,0,1,8,41,28,34
0,0,0,1,1,3,40,31,43
0,0,0,1,1,3,49,36,45
0,0,0,1,1,7,47,32,38
0,0,0,0,1,5,37,32,39
0,0,0,1,1,4,38,33,38
0,0,0,1,1,4,37,34,43
0,0,0,1,2,7,46,40,51
0,0,0,1,2,13,39,37,43
0,0,0,1,2,12,31,33,42
0,0,0,1,2,5,36,36,45
1,2,6,14,5,93,506,570,191
1,1,6,13,5,69,554,637,187
1,2,6,13,6,86,644,666,218
1,2,5,12,5,71,544,611,224
1,1,5,11,4,67,428,536,179
1,1,4,10,5,69,414,515,185
1,1,5,12,6,73,501,523,218
1,2,7,16,5,87,587,600,190
1,1,4,9,4,70,389,440,145
1,2,5,11,5,84,503,547,194
1,1,5,11,4,45,502,521,157
1,1,4,10,5,63,390,451,195
1,1,4,9,5,53,396,414,196
1,1,3,8,6,52,374,428,181
1,1,4,10,6,52,417,503,257
1,1,5,11,6,58,485,498,230
1,1,6,12,6,72,534,574,209
1,1,4,8,6,54,433,434,236
1,1,4,9,4,62,386,451,161
1,1,3,8,6,43,354,358,248
1,1,5,11,5,45,478,564,220
1,1,4,8,4,60,415,407,196
1,1,3,8,4,50,340,444,160
1,1,3,7,5,42,303,340,196
1,1,3,8,5,55,336,357,194
1,1,3,7,3,35,284,290,136
1,0,4,9,5,33,395,441,180
1,1,3,8,5,36,318,321,210
1,1,3,7,4,37,348,338,177
1,0,4,9,5,32,382,412,226
1,1,4,8,6,60,386,412,246
1,1,4,8,5,56,365,408,139
1,1,4,9,4,45,395,426,173
1,1,4,9,6,51,379,422,224
1,1,3,8,5,41,383,371,192
1,1,3,7,4,36,321,325,158
1,1,3,7,6,50,327,347,221
1,1,3,7,5,46,326,328,191
1,1,3,8,4,49,346,392,177
1,1,3,7,5,47,312,360,181
1,1,4,9,6,46,406,425,211
1,0,3,8,4,34,379,365,154
1,1,3,8,5,43,340,402,217
1,1,4,9,5,50,369,413,169
