"res","f1","f2","f3","f4","f5","f6","f7","f8"
0,0,0,0,1,19,4,13,14
0,0,0,0,0,18,1,12,9
0,0,0,0,1,19,3,12,12
0,0,0,0,1,13,3,10,14
0,0,0,0,1,17,4,14,15
0,0,0,0,1,14,7,16,16
0,0,0,0,1,16,7,12,16
0,0,0,0,1,17,8,14,14
0,1,1,0,1,17,8,16,17
0,1,0,0,1,19,7,15,16
0,1,0,0,2,20,8,18,17
0,1,0,0,2,16,4,15,15
0,1,0,0,1,19,4,13,11
0,1,0,0,2,16,3,14,17
0,1,0,0,1,19,3,12,15
0,1,0,0,1,18,4,13,12
0,0,0,0,1,18,3,13,11
0,0,0,0,1,16,1,9,12
0,0,0,0,0,18,2,11,11
0,0,0,0,1,17,4,11,11
0,0,0,0,1,18,5,15,12
0,0,0,0,1,21,5,15,13
0,0,0,0,1,15,6,14,15
0,0,0,0,1,15,4,12,12
0,0,0,0,1,16,4,12,11
0,1,0,0,1,17,8,13,14
0,1,0,0,1,23,8,16,15
0,1,0,0,1,28,6,15,13
0,1,0,0,2,23,7,16,15
0,1,0,0,1,21,5,14,12
0,1,0,0,1,17,4,15,14
0,1,0,0,1,20,2,11,13
0,1,0,0,1,21,2,15,15
0,1,0,0,1,19,4,14,16
0,0,0,0,1,19,3,15,14
0,0,0,0,1,15,1,11,14
0,0,0,0,0,16,3,10,10
0,0,0,0,1,20,3,13,14
0,0,0,0,1,18,1,10,12
0,0,0,0,1,19,3,12,15
0,0,0,0,1,17,4,15,10
0,0,0,0,1,16,5,16,14
0,0,0,0,1,13,4,14,14
0,1,0,0,1,19,5,12,11
0,1,0,0,1,21,6,14,13
0,1,0,0,1,32,8,14,15
0,1,0,0,1,25,7,16,16
0,1,0,0,1,27,7,16,17
0,1,0,0,2,21,8,18,13
0,1,0,0,1,17,5,17,13
0,1,0,0,1,19,1,12,12
0,1,0,0,1,21,2,16,12
0,1,0,0,1,18,1,10,14
0,0,0,0,1,18,2,12,12
0,0,0,0,0,19,2,12,11
0,0,0,0,0,19,2,14,11
0,0,0,0,0,17,2,14,9
0,0,0,0,0,15,2,12,10
0,1,0,0,0,18,2,11,9
0,0,0,0,1,17,2,12,10
0,0,0,0,1,15,3,11,11
0,1,0,0,1,17,6,15,15
0,1,0,0,1,21,6,13,11
0,1,0,0,1,26,7,17,16
0,1,0,0,1,23,8,18,14
0,1,0,0,1,25,5,14,15
0,1,0,0,1,19,5,15,12
0,1,0,0,2,16,3,14,12
0,1,0,0,1,19,2,13,12
0,1,0,0,1,22,2,15,14
0,1,0,0,1,18,0,11,15
0,1,0,0,1,17,2,13,13
0,0,0,0,3,18,1,14,28
0,0,0,0,1,19,0,17,16
0,1,0,0,1,18,1,10,14
0,0,0,0,1,18,2,12,12
0,0,0,0,0,19,2,12,11
0,0,0,0,0,19,2,14,11
0,0,0,0,0,17,2,14,9
0,0,0,0,0,15,2,12,10
0,1,0,0,0,18,2,11,9
0,0,0,0,1,17,2,12,10
0,0,0,0,1,15,3,11,11
0,1,0,0,1,17,6,15,15
0,1,0,0,1,21,6,13,11
0,1,0,0,1,26,7,17,16
0,1,0,0,1,23,8,18,14
0,1,0,0,1,25,5,14,15
0,1,0,0,1,19,5,15,12
0,1,0,0,2,16,3,14,12
0,1,0,0,1,18,1,10,14
0,0,0,0,1,18,2,12,12
0,0,0,0,0,19,2,12,11
0,0,0,0,0,19,2,14,11
0,0,0,0,0,17,2,14,9
0,0,0,0,0,15,2,12,10
0,1,0,0,0,18,2,11,9
0,0,0,0,1,17,2,12,10
0,0,0,0,1,15,3,11,11
0,1,0,0,1,17,6,15,151
1,2,47,27,15,212,440,642,183
1,2,46,23,12,183,440,544,126
1,3,71,39,22,319,690,831,259
1,1,61,27,18,172,578,691,204
1,1,52,21,13,148,522,511,141
1,1,41,20,14,129,371,520,147
1,1,29,14,10,92,296,373,112
1,0,36,18,13,81,369,486,129
1,1,37,19,11,110,402,513,136
1,2,52,25,13,178,493,606,118
1,1,43,21,16,144,401,521,189
1,1,30,15,13,101,299,397,108
1,1,43,22,13,118,419,508,150
1,1,30,16,13,108,320,433,156
1,1,39,18,13,135,395,495,141
1,1,42,21,9,107,394,427,117
1,1,42,18,11,109,416,428,127
1,1,38,19,10,88,374,434,119
1,0,33,15,15,86,344,359,166
1,1,40,19,9,124,387,473,100
1,0,35,15,13,63,344,370,146
1,1,34,15,12,94,321,416,121
1,0,33,16,13,95,347,373,116
1,1,32,16,11,101,320,384,139
1,1,32,18,17,102,308,411,174
1,1,39,19,12,100,340,390,123
1,1,26,15,12,66,255,383,130
1,0,33,16,11,57,331,390,115
1,1,40,19,11,81,368,443,112
1,1,33,15,10,98,312,371,107
1,1,37,20,16,103,354,465,176
1,0,34,18,18,72,390,449,177
1,1,38,19,13,113,410,489,171
1,0,31,17,14,75,289,410,166
1,1,43,21,14,134,413,561,161
1,0,31,17,15,83,273,379,159
1,1,38,18,13,104,384,461,146
1,1,28,15,13,102,264,399,147
1,0,28,16,15,70,266,343,166
1,0,22,14,14,73,219,327,161
1,1,31,20,13,104,288,482,155
1,1,24,15,12,80,273,363,135
1,0,27,14,11,74,281,355,150
1,1,26,18,17,88,253,420,203
1,0,30,15,14,68,291,398,143
1,1,32,15,13,94,322,382,157
1,0,26,15,12,64,263,343,114
1,0,19,12,13,54,181,249,123
1,0,20,11,11,69,214,288,122
1,0,20,12,13,61,185,279,125
1,0,21,11,16,41,196,285,186
1,0,22,14,14,74,228,375,140
1,0,29,17,15,82,312,412,182
1,1,43,20,16,146,382,457,190
1,0,34,19,11,92,346,463,127
1,1,34,17,14,122,337,440,163
1,1,34,19,13,101,338,404,156
1,0,31,16,12,99,298,386,154
1,1,39,17,14,96,359,342,149
1,1,31,18,13,102,293,426,126
1,0,31,15,12,60,340,383,143
1,0,25,13,12,54,267,337,135
1,1,29,17,16,91,282,414,190
1,0,34,16,11,62,357,414,106
1,0,22,13,17,57,189,256,174
1,0,25,13,12,54,267,337,135
1,1,29,17,16,91,282,414,190
1,0,34,16,11,62,357,414,106
1,0,22,13,17,57,189,256,174
1,1,29,15,22,70,173,279,207
1,2,46,36,29,178,426,744,309
1,2,45,33,22,204,449,744,207
1,1,38,27,15,169,270,734,164
1,1,42,29,17,177,367,679,186
1,1,39,25,21,120,366,561,233
1,1,32,25,19,117,318,572,207
1,0,22,15,20,63,219,399,201
1,1,38,24,16,123,300,509,160
1,0,35,21,17,75,350,506,163
1,0,33,21,14,80,300,502,106
1,1,36,24,16,103,354,489,148
1,1,31,20,14,91,286,451,142
1,1,34,23,14,74,298,543,156
1,1,31,21,16,75,254,414,169
1,0,25,16,15,66,241,401,173
1,0,35,22,17,65,347,548,161
1,1,45,26,14,113,376,508,148
1,1,22,19,13,92,206,439,118
1,1,27,20,12,81,287,551,118
1,0,33,20,14,76,284,465,126
1,0,30,21,17,73,280,487,177
1,0,22,14,12,57,248,361,141
1,0,28,21,13,55,249,432,145
1,0,25,17,16,74,214,425,142
1,0,23,15,11,53,249,414,116
1,0,16,14,12,55,167,392,143
1,0,24,18,14,61,223,430,168
1,0,30,18,13,53,228,365,134
1,0,22,17,15,72,209,422,175
2,0,5,6,53,64,50,145,575
2,0,6,7,45,54,68,176,506
2,0,7,6,67,79,58,153,862
2,0,7,6,62,70,62,174,696
2,0,5,4,48,60,51,117,553
2,0,4,4,51,51,51,125,658
2,0,6,4,60,53,70,127,697
2,0,6,5,56,72,56,151,669
2,0,4,6,55,85,47,151,588
2,0,5,3,45,50,50,102,521
2,0,4,2,45,63,43,67,477
2,0,5,4,47,57,54,120,503
2,0,28,4,50,52,74,122,597
2,0,19,15,68,58,119,187,591
2,0,5,5,43,54,47,116,460
2,0,5,5,39,52,45,92,471
2,0,5,4,36,48,45,98,343
2,0,3,3,36,26,30,88,394
2,0,2,3,43,31,29,65,393
2,0,2,3,48,34,22,77,488
2,0,4,3,43,22,32,73,444
2,0,3,3,49,30,26,79,479
2,0,3,3,38,25,26,67,406
2,0,3,3,43,20,31,62,422
2,0,2,2,39,23,22,64,453
2,0,3,3,41,39,27,69,405
2,0,3,3,33,41,37,71,310
2,0,4,3,40,47,43,66,420
2,0,4,3,41,38,41,77,471
2,0,2,3,33,38,27,62,362
2,0,3,3,33,40,28,76,359
2,0,4,3,28,34,38,71,255
2,0,4,3,38,35,32,62,381
2,0,2,2,50,39,19,46,503
2,0,5,5,43,35,56,128,489
2,0,5,5,47,33,45,102,451
2,0,2,4,34,26,18,99,409
2,0,3,3,35,30,35,83,347
2,0,4,3,48,15,19,66,474
2,0,5,3,46,25,49,74,495
2,0,3,2,30,24,28,59,312
2,0,2,2,39,31,23,59,457
2,0,3,2,34,19,27,65,353
2,0,3,3,31,21,26,63,271
2,0,3,3,31,43,34,76,357
2,0,3,3,38,31,33,70,424
2,0,2,3,32,36,22,59,333
2,0,2,3,39,30,33,77,452
2,0,3,3,40,37,30,83,424
2,0,2,2,36,41,21,51,395
2,0,2,3,38,47,25,66,342
2,0,5,3,36,44,43,71,411
2,0,5,4,34,39,41,90,365
2,0,3,2,36,28,26,49,396
2,0,2,2,33,27,24,59,383
2,0,2,3,37,27,15,61,397
2,0,2,3,34,36,23,63,329
2,0,6,4,26,33,53,86,298
2,0,5,3,31,43,43,89,346
2,0,4,3,26,20,32,70,294
2,0,2,2,30,25,22,45,277
2,0,2,2,25,27,17,56,217
2,0,2,3,44,47,23,65,449
2,0,4,4,35,36,42,86,340
2,0,7,4,52,45,71,97,585
2,0,6,5,36,59,51,132,415
2,0,6,4,32,60,48,100,300
2,0,3,2,31,39,27,45,302
2,0,3,3,23,44,32,59,214
2,0,3,4,36,26,39,73,386
2,0,6,3,41,39,50,80,392
2,0,3,2,35,36,30,54,305
2,0,2,2,34,37,17,44,329
2,0,2,2,32,37,20,51,324
2,0,1,3,38,23,17,78,413
2,0,2,2,28,15,17,54,305
2,0,2,2,31,28,27,52,294
2,0,3,3,31,31,26,63,386
2,0,2,2,30,28,20,57,267
2,0,2,2,30,22,21,62,296
2,0,2,2,34,25,18,50,412
2,0,2,2,34,33,18,54,377
2,0,3,3,34,21,34,72,345
2,0,5,3,42,40,45,65,435
2,0,3,3,35,37,30,68,388
2,0,4,3,24,26,42,64,242
2,0,3,3,33,39,30,67,287
2,0,2,3,31,36,25,61,315
2,0,3,4,38,47,26,90,396
2,0,2,3,47,48,27,64,487
2,0,2,3,33,18,22,60,339
2,0,2,2,31,38,17,47,315
2,0,2,3,31,33,19,57,365
2,0,2,3,35,35,24,60,375
2,0,2,3,28,22,25,65,301
2,0,2,2,36,27,19,56,326
2,0,2,2,30,36,22,56,262
2,0,2,2,39,24,20,60,449
2,0,6,2,32,24,51,57,328
2,0,3,2,40,16,29,46,374
3,0,1,1,10,39,12,22,106
3,0,1,0,11,35,16,19,124
3,0,1,0,10,46,13,18,124
3,0,10,3,30,34,47,47,140
3,0,5,2,13,37,24,22,98
3,0,1,2,10,33,11,22,85
3,0,0,1,10,26,6,20,89
3,0,1,2,9,25,8,23,70
3,0,1,1,10,29,11,22,93
3,0,1,1,13,31,14,27,95
3,0,2,2,12,49,22,34,99
3,0,1,1,13,24,12,35,124
3,0,1,1,9,33,8,27,87
3,0,1,2,12,27,17,35,100
3,0,1,2,9,46,14,30,76
3,0,1,2,11,14,9,33,89
3,0,1,2,10,47,11,42,90
3,0,1,2,10,17,11,34,90
3,0,1,2,11,42,15,31,97
3,0,3,2,12,32,25,26,117
3,0,2,2,17,38,30,29,140
3,0,1,2,12,16,15,28,95
3,0,1,2,10,17,18,26,88
3,0,1,2,11,16,9,32,89
3,0,2,2,10,10,19,33,83
3,0,2,2,12,24,19,25,91
3,0,2,1,9,32,20,24,66
3,0,2,2,9,41,13,37,61
3,0,1,1,11,32,13,23,94
3,0,2,2,9,18,19,28,69
3,0,1,1,7,23,11,24,49
3,0,2,2,9,31,17,34,83
3,0,1,2,11,29,13,32,95
3,0,1,2,12,30,14,31,120
3,0,3,2,13,30,27,37,110
3,0,5,2,14,37,42,31,142
3,0,4,3,11,54,37,56,94
3,0,4,2,11,30,36,40,106
3,0,3,3,10,37,24,59,84
3,0,2,2,11,24,25,43,88
3,0,2,2,11,44,20,48,103
3,0,5,2,10,50,43,49,85
3,0,3,2,12,43,33,55,118
3,0,5,2,10,50,46,49,85
3,0,3,2,12,56,32,52,107
3,0,3,3,12,50,31,51,104
3,0,2,3,13,39,27,69,126
3,0,2,3,9,47,27,59,83
3,0,2,2,12,44,19,39,103
3,0,3,3,13,40,29,54,112
3,0,4,3,18,35,35,66,146
3,0,4,4,14,56,50,79,132
3,0,3,5,14,50,40,85,131
3,0,2,4,14,45,26,90,124
3,0,4,4,15,59,37,80,135
3,0,4,4,15,64,41,79,133
3,0,4,4,14,43,46,82,114
3,0,5,2,12,60,55,50,116
3,0,4,3,12,40,42,74,121
3,0,3,3,13,62,39,69,119
3,0,5,3,12,32,65,80,121
3,0,6,2,15,40,50,44,143
3,1,6,8,12,121,67,175,117
3,0,7,6,19,98,74,123,189
3,0,6,6,15,124,62,145,162
3,1,9,8,17,110,102,181,176
3,1,8,6,18,86,84,146,185
3,0,9,6,21,100,97,122,199
3,0,4,4,14,59,48,64,121
3,1,12,6,15,113,125,124,131
3,0,4,6,17,97,45,126,169
3,0,6,4,18,63,63,103,176
3,0,6,5,15,78,65,122,161
3,0,9,6,16,96,100,154,162
3,0,6,6,18,79,62,128,166
3,0,6,4,16,73,65,94,144
3,0,7,6,15,84,74,128,132
3,0,5,6,15,92,55,144,128
3,0,6,5,14,61,63,138,122
3,0,6,4,16,81,64,105,181
3,0,5,4,20,54,56,107,181
3,0,8,4,19,95,89,103,209
3,0,6,5,25,76,73,124,278
3,1,9,7,20,111,108,164,166
3,0,7,4,19,109,74,106,156
3,0,8,4,17,82,91,102,173
3,0,10,5,15,111,100,126,168
3,0,7,3,12,66,72,83,120
3,0,8,6,16,89,66,131,157
3,0,5,4,20,65,60,76,182
3,0,7,7,14,76,81,166,138
3,0,7,5,15,66,71,137,143
3,0,5,5,18,72,56,113,194
3,1,7,6,22,107,75,146,245
3,1,10,7,16,141,100,147,148
3,0,7,5,15,115,65,105,142
3,0,8,5,16,84,90,106,153
3,0,7,5,14,64,76,135,142
3,0,10,4,19,106,87,93,188
3,0,6,4,22,80,59,98,211
4,2,12,4,28,266,130,85,336
4,2,13,3,17,237,125,83,228
4,2,11,3,17,232,96,66,190
4,1,13,4,21,158,97,82,215
4,1,13,3,31,200,107,60,296
4,1,10,3,20,217,114,57,214
4,2,12,3,17,256,142,74,179
4,1,7,3,17,167,77,60,184
4,1,7,2,17,150,64,50,190
4,1,11,3,15,218,117,61,163
4,1,7,2,15,121,64,35,155
4,1,8,2,15,128,65,46,184
4,1,7,2,16,142,67,46,163
4,1,10,2,11,145,91,37,117
4,1,10,3,14,170,94,54,139
4,1,8,2,17,136,96,48,169
4,1,9,2,12,175,93,41,132
4,1,6,2,15,216,74,40,174
4,1,9,2,13,180,93,50,119
4,1,4,2,15,114,51,28,169
4,1,6,2,14,126,69,37,141
4,1,7,2,16,120,75,45,135
4,1,10,2,21,145,103,48,212
4,1,9,2,15,178,92,57,152
4,2,7,2,16,156,79,47,136
4,1,9,2,14,130,81,40,121
4,1,4,2,13,123,57,34,145
4,1,7,2,11,160,68,37,118
4,1,8,2,10,105,73,38,79
4,1,6,2,13,120,54,38,121
4,1,8,2,12,116,71,50,105
4,1,8,2,19,166,79,46,193
4,1,7,2,14,144,72,48,139
4,1,8,2,16,135,79,40,157
4,2,13,3,20,199,108,61,192
4,2,10,2,17,212,106,46,176
4,1,11,3,19,169,104,56,161
4,1,10,3,16,175,97,63,154
4,1,6,2,21,125,57,42,193
4,1,9,2,17,131,72,38,163
4,1,5,2,13,107,52,33,136
4,1,6,2,21,132,67,41,187
4,1,6,2,14,125,69,41,151
4,1,7,3,19,119,67,50,174
4,1,9,3,15,150,84,48,159
4,1,9,2,12,158,89,39,115
4,1,6,2,13,151,70,45,133
