"res","f1","f2","f3","f4"
0,12,29,8,24
0,11,26,8,27
0,16,29,10,22
0,12,25,8,31
0,14,29,11,23
0,12,31,7,27
0,13,38,13,15
0,15,33,6,32
0,10,34,9,21
0,7,28,7,15
0,13,35,7,18
0,9,30,5,14
0,13,33,7,12
0,14,25,4,11
0,21,30,2,12
0,17,26,2,8
0,18,30,2,11
0,12,23,2,13
0,19,24,1,14
0,12,23,1,15
0,20,21,1,15
0,15,25,5,17
0,20,24,1,21
0,13,20,2,18
0,18,25,1,18
0,17,19,2,12
0,22,21,2,12
0,18,20,2,13
0,17,23,3,15
0,15,26,5,12
0,12,20,3,15
0,13,24,3,11
0,18,31,3,9
0,15,29,2,11
0,13,25,4,9
0,13,19,2,9
0,11,30,1,12
0,10,26,3,10
0,18,21,2,11
0,14,23,3,9
0,11,24,0,12
0,12,26,3,12
0,12,20,0,10
0,13,23,2,7
0,12,20,1,9
0,11,21,1,11
0,13,26,2,12
0,13,21,4,12
0,14,23,6,10
0,11,23,4,13
0,12,26,6,13
0,7,22,3,12
0,11,35,10,11
0,6,28,5,15
0,9,31,8,15
0,7,26,7,14
0,7,31,6,14
0,9,26,6,14
0,8,30,7,17
0,8,22,6,15
0,10,32,9,19
0,7,25,7,16
0,11,29,6,16
0,10,28,8,21
0,11,33,11,22
0,12,30,6,17
0,13,31,11,15
0,12,23,5,17
0,12,35,8,23
0,12,24,6,15
0,12,37,10,19
0,12,23,6,13
0,12,32,7,15
0,11,25,4,10
0,13,36,9,19
0,13,27,6,23
0,12,27,6,13
0,11,28,6,17
0,13,31,7,22
0,15,28,6,18
0,14,29,10,20
0,12,29,7,23
0,11,32,8,19
0,10,25,8,23
0,14,28,8,16
0,11,28,7,24
0,13,31,7,25
0,9,30,5,24
0,11,29,4,17
0,12,27,4,18
0,12,27,5,18
0,13,21,5,12
0,13,21,2,10
0,11,23,4,15
0,16,20,3,9
0,15,18,1,14
0,16,22,1,8
0,13,20,1,13
0,18,20,1,11
0,17,22,1,13
1,98,214,636,103
1,87,116,204,107
1,47,175,376,99
1,127,160,533,51
1,71,130,368,107
1,144,174,524,104
1,191,138,666,134
1,123,193,578,64
1,156,102,590,88
1,129,87,617,91
1,133,225,456,83
1,138,232,599,107
1,88,204,405,105
1,89,232,416,83
1,76,170,437,75
1,83,150,566,179
1,132,186,698,92
1,120,111,414,98
1,104,114,446,89
1,74,178,390,77
1,79,173,331,71
1,89,108,396,93
1,81,132,449,157
1,84,227,494,81
1,131,114,465,52
1,123,199,470,119
1,112,195,668,48
1,94,177,449,61
1,55,144,348,63
1,90,183,396,40
1,113,124,288,84
1,68,122,298,63
1,65,122,305,67
1,58,124,200,60
1,36,157,243,36
1,115,231,353,98
1,57,175,268,98
1,92,273,302,77
1,64,159,326,76
1,88,147,339,32
1,89,117,297,55
1,30,119,245,61
1,68,97,363,39
1,82,227,386,50
1,92,100,359,72
1,38,145,283,22
1,35,139,384,75
1,66,109,329,64
1,53,119,320,49
1,58,121,332,60
1,95,135,310,46
1,63,129,327,62
1,59,181,331,67
1,56,121,271,37
1,30,93,294,58
1,44,142,362,59
1,66,76,238,50
1,47,99,264,102
1,53,194,305,106
1,40,129,207,99
1,22,128,177,63
1,98,159,442,72
1,92,109,235,22
1,92,95,218,102
1,79,162,379,53
1,56,130,307,49
1,48,110,264,41
1,59,81,163,58
1,64,116,370,46
1,33,106,228,53
1,117,195,395,46
1,49,149,157,58
1,94,126,309,65
1,64,121,236,41
1,59,158,241,34
1,104,87,246,83
1,51,101,234,53
1,70,108,318,58
1,40,93,293,43
1,111,122,423,45
1,39,192,293,87
1,61,84,268,76
1,126,140,315,56
1,57,166,476,42
1,116,150,556,50
1,186,132,441,70
1,145,173,443,71
1,36,179,324,62
1,91,162,390,100
1,104,185,611,61
1,126,259,571,79
1,116,166,342,112
1,118,221,570,85
1,117,200,477,81
1,102,180,434,69
1,103,162,348,49
1,100,121,439,95
1,94,152,270,44
1,93,175,455,91
1,166,205,603,32
2,41,85,55,423
2,38,73,110,185
2,35,69,54,377
2,60,101,81,322
2,27,111,145,135
2,40,96,77,291
2,36,123,63,256
2,46,110,87,256
2,78,76,69,395
2,96,68,141,227
2,34,105,77,286
2,46,38,49,290
2,66,80,79,265
2,27,94,64,240
2,78,77,63,271
2,73,145,145,491
2,39,61,53,213
2,43,92,245,289
2,54,44,68,301
2,79,169,89,400
2,63,71,57,288
2,43,101,110,148
2,52,91,97,454
2,35,123,111,369
2,50,69,68,236
2,47,116,166,274
2,28,72,90,285
2,41,104,83,232
2,35,58,89,198
2,77,60,51,342
2,41,47,30,180
2,58,89,51,196
2,39,70,49,122
2,68,51,51,138
2,67,88,71,290
2,32,63,96,191
2,56,75,37,300
2,78,68,34,153
2,34,58,73,332
2,67,144,97,344
2,82,59,125,150
2,36,71,44,159
2,40,68,83,173
2,66,84,91,228
2,33,58,66,318
2,63,46,80,131
2,51,87,72,208
2,46,77,66,207
2,40,50,65,175
2,57,53,30,227
2,72,24,49,212
2,57,60,64,251
2,26,88,85,167
2,33,87,81,251
2,76,77,78,324
2,61,203,217,369
2,46,91,137,173
2,32,70,103,187
2,45,31,27,160
2,41,80,116,309
2,66,39,45,222
2,39,147,105,629
2,39,57,104,264
2,34,58,70,171
2,73,46,106,147
2,45,41,111,90
2,47,57,58,150
2,33,90,62,174
2,55,96,119,266
2,42,31,44,289
2,41,38,82,193
2,44,59,79,260
2,83,62,84,176
2,52,65,75,143
2,22,38,86,190
2,39,60,57,150
2,38,69,139,381
2,41,67,44,173
2,69,88,143,286
2,19,29,51,137
2,62,25,94,121
2,72,58,61,281
2,63,113,87,233
2,36,112,90,140
2,69,97,93,239
2,25,46,70,152
2,38,118,113,203
2,47,31,52,227
2,48,66,54,264
2,26,35,32,206
2,63,86,108,102
2,87,62,69,202
2,48,63,60,158
2,23,91,62,324
2,97,169,71,250
2,78,158,55,140
2,33,92,78,141
2,46,48,59,104
2,67,54,69,206
2,31,53,55,314
3,35,23,22,177
3,38,30,10,124
3,22,36,19,78
3,33,28,10,99
3,21,32,17,182
3,42,31,21,106
3,16,13,14,67
3,81,40,23,116
3,30,11,10,84
3,57,24,18,176
3,46,18,16,109
3,52,23,19,125
3,50,29,27,255
3,20,4,11,92
3,42,9,17,200
3,37,13,15,132
3,51,8,17,95
3,24,7,10,77
3,25,5,9,133
3,64,22,16,111
3,33,17,6,127
3,35,19,23,224
3,58,23,13,182
3,60,13,7,110
3,44,15,10,191
3,41,34,18,93
3,46,18,12,118
3,29,16,9,189
3,42,12,11,193
3,47,24,17,166
3,61,22,14,81
3,65,23,15,121
3,42,31,15,114
3,68,58,23,116
3,71,39,13,77
3,46,24,11,120
3,109,56,9,120
3,54,38,14,150
3,32,44,11,91
3,64,65,25,87
3,46,30,11,100
3,46,6,13,103
3,93,50,11,94
3,29,28,12,102
3,28,17,11,114
3,76,50,15,76
3,54,28,11,74
3,65,33,18,114
3,39,24,12,51
3,108,61,15,81
3,46,27,19,77
3,69,10,14,55
3,65,28,16,93
3,81,92,24,75
3,51,21,25,114
3,96,89,21,28
3,41,13,15,84
3,62,27,10,73
3,34,16,16,72
3,24,11,19,62
3,81,47,10,56
3,52,43,19,118
3,31,40,17,30
3,54,6,17,86
3,86,77,13,74
3,86,80,20,32
3,19,0,10,38
3,57,29,15,67
3,132,96,13,66
3,39,10,13,39
3,32,35,10,71
3,35,11,12,94
3,187,65,14,101
3,19,0,10,55
3,33,14,13,60
3,13,7,8,85
3,94,100,28,27
3,44,31,10,51
3,55,69,15,82
3,82,83,21,57
3,81,72,23,72
3,54,74,9,138
3,39,17,10,106
3,27,8,7,61
3,60,45,17,104
3,52,28,13,96
3,30,29,9,70
3,94,44,11,41
3,40,58,19,91
3,71,46,16,79
3,90,72,16,84
3,54,33,13,43
3,28,13,7,122
3,63,48,13,104
3,39,23,12,79
3,56,42,15,34
3,19,9,13,44
3,38,49,19,36
4,46,22,12,53
4,55,53,9,61
4,124,50,29,70
4,77,42,18,60
4,142,134,56,38
4,98,78,39,64
4,105,50,28,60
4,141,128,46,72
4,84,48,18,62
4,79,41,28,55
4,115,62,35,104
4,136,90,41,43
4,76,16,18,58
4,77,56,35,43
4,60,20,16,39
4,78,88,36,36
4,91,50,30,75
4,70,6,18,42
4,111,89,41,44
4,103,21,18,50
4,138,32,19,31
4,45,8,19,44
4,72,47,16,38
4,95,33,18,44
4,137,37,21,68
4,118,65,16,33
4,71,16,19,39
4,26,4,17,60
4,74,28,20,67
4,59,22,17,34
4,127,12,17,43
4,74,23,24,63
4,80,36,26,40
4,44,16,22,38
4,113,22,29,42
4,42,18,21,30
4,77,26,22,73
4,105,61,37,32
4,153,130,63,45
4,100,43,22,45
4,135,61,26,73
4,167,90,38,49
4,87,68,32,56
